Cathode_Name,전압 점수,용량 점수,가격 점수,소재 특징,DOI
Na1.7O2Fe3(PO4)3,58,28,100,"30-55도 작동 온도, 낮은 율속특성",https://doi.org/10.1039/c4ra05336b
Na4Fe3(PO4)P2O7,64,21.2,100,"1C 100사이클 75%, ",https://doi.org/10.1039/C4RA05336B
Na2MnPO4F,73.2,6,99,"나노 섬유 구조, 낮은 율속 특성, 0.1C 90.6mAh/g, 0.05C 50사이클 67% 용량",https://doi.org/10.1016/j.jcis.2021.06.081
NaV(PO4)F,74,18,74,"나노구조 (rGO 탄소 네트워크), 15C 75mAh/g, 5C 1500사이클 99.9885% 용량",https://doi.org/10.1039/D0TA06614A
Na1.5VPO4.8F0.7,76,26.8,76,"2.9%의 낮은 부피 팽창, 1C 500사이클 84% 용량",https://doi.org/10.1021/ja406016j
Na2Fe(PO4)F,60,23,100,"산업용 생산 방법(고상 반응, 알코올 보조 볼 밀링), 2C 90.3mAh/g 용량, 0.5C 100사이클 96.2% 용량",https://doi.org/10.1007/s11771-019-4108-5
Na3MnPO4CO3,74,25.4,99,"세척 건조 없는 기계적 볼밀링 제작법, 0.1C 116mAh/g 용량",https://doi.org/10.3390/en12234534
Na2MnFe(CN)6,70,24.2,98,"마이크로 큐브 구조, 10C 110.3mAh/g 용량",https://doi.org/10.1039/c9ta08603j
Zn3[Fe(CN)6]2,32,22,96,"Aqueous Battery, 낮은 방전 용량",https://doi.org/10.1002/adfm.202301291
Triptycene tribenzoquinone (TT) (C16O6H8),50,206.4,98,"Cathode가 전해질에 용해되는 문제가 존재, Organic lithium ion battery",https://doi.org/10.1039/C7TA09968A
Na2C8H4O4,5,12.9,99,"Organic sodium ion battery, irreversible capacity가 큼",https://doi.org/10.1002/adfm.202107718
Na2C6O6 (Disodium rhodizonate),30,145.2,99,"Organic sodium ion battery, 높은 에너지 효율",http://dx.doi.org/10.1038/s41560-017-0014-y
Calix[4]quinone (C4Q) (C28H16O8),50,203.5,98,"Organic sodium ion battery, 낮은 cycle 안정성",https://doi.org/10.1039/C7QI00453B
"PTCDI (3,4,9,10-perylenetetracarboxylicdiimide)",40,36.8,98,"Organic sodium ion battery, 높은 충전 속도",https://doi.org/10.1002/chem.202003624
PBQS (Poly(benzoquinonyl sulfide)),41.6,111.4,99,"Organic sodium ion battery에서 낮은 안정성, Organic lithuim ion battery에서 높은 안정성",https://doi.org/10.1002/advs.201500124
